ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-930395-08-5,Ernestine L. Rose: Women's Rights Pioneer,"Suhl, Yuri",Bookslinger,336.0,1990,,Paperback,,en,Expanded,,5.0,https://images.isbndb.com/covers/50/87/9780930395087.jpg,Success,71.0,13.1
0-941300-15-3,Women at the Helm,Jeannine Talley,Mother Courage Pr,228.0,1990-05-01,,Paperback,Two women sell everything and begin an adventure-filled cruise around the world in a 34-foot sailboat.,en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 0.8 Pounds, Width: 0.75 Inches",11.95,https://images.isbndb.com/covers/01/55/9780941300155.jpg,Success,72.0,13.1
0-930100-36-0,Nancy Hanks of Wilderness Road: A Story of Abraham Lincoln's Mother,"Le Sueur, Meridel",Holy Cow! Press,80.0,1990-05-01,,Hardcover,,en,First Printing Thus,"Height: 9 Inches, Length: 5.75 Inches, Weight: 0.45 Pounds, Width: 0.5 Inches",10.95,https://images.isbndb.com/covers/03/60/9780930100360.jpg,Success,76.0,13.1
0-8101-0760-0,Diary and Letters of Kaethe Kollwitz,"Kollwitz, Kaethe",Northwestern University Press,272.0,1989-06-01,"DiariesKollwitz, Käthe , 1867-1945, CorrespondenceKollwitz, Käthe , 1867-1945, Artists--Correspondence, Artists--Germany--Correspondence, N6888.K62 A3 1988, NE654.K6 A4 1988",Hardcover,"Edited By Hans Kollwitz ; Translated By Richard And Clara Winston. Originally Published: Henry Regnery Co., 1955.",en,1,"vi, 200 p., 48 p. of plates : ill., ports. ; 26 cm.",39.95,https://images.isbndb.com/covers/76/01/9780810107601.jpg,Success,59.0,13.1
0-88961-141-6,Come Sit by Me,"Merrifield, Margaret, Collins, Heather",Womens Pr,32.0,1990,"Children's Fiction, General",Paperback,,en,First Edition,"Height: 8 Inches, Length: 8 Inches, Weight: 0.25 Pounds, Width: 0.25 Inches",6.95,https://images.isbndb.com/covers/14/12/9780889611412.jpg,Success,72.0,13.1
0-8203-1192-8,People I Know,"Zafris, Nancy",University of Georgia Press,176.0,1990-03-01,,Hardcover,,en,,"Height: 8.81 Inches, Length: 5.77 Inches, Weight: 0.93 Pounds, Width: 0.8 Inches",29.95,https://images.isbndb.com/covers/19/20/9780820311920.jpg,Success,85.0,13.1
0-453-00715-5,Uncommon Lives,"Whitney, Catherine",Dutton,274.0,1990-03-28,,Hardcover,A Comprehensive Study Of Gay/straight Relationships Based On A National Survey Of More Than A Thousand People And In-depth Interviews And Consultations With Leading Experts. By Catherine Whitney ; With An Afterword By Christine Henny. Includes Bibliographical References.,en,,"Height: 1 Inches, Length: 1 Inches, Weight: 0.98 Pounds, Width: 1 Inches",18.95,https://images.isbndb.com/covers/71/53/9780453007153.jpg,Success,67.0,13.1
0-345-36285-3,The Evening Wolves,"Chase, Joan",Ballantine Books,,1990-05-13,,Paperback,,en,,Weight: 0.35 Pounds,4.95,https://images.isbndb.com/covers/28/58/9780345362858.jpg,Success,96.0,13.1
0-936185-13-9,Breast Connection: A Laywoman's Guide To The Treatment Of Breast  Disease By Chinese Medicine,Honora L. Wolfe,Blue Poppy Pr,88.0,1993,,Paperback,,en,,,9.95,https://images.isbndb.com/covers/51/32/9780936185132.jpg,Success,79.0,13.1
0-910383-17-0,Love and Politics : Radical Feminist and Lesbian Theories,"Douglas, Carol Anne",Ism Pr,363.0,1990-07,"Feminist theory, Lesbianism, Radicalism, HQ1206 .D67 1990, 305.42/01",Paperback,"Pt. 1. What Is Radical Feminism? Defining Ourselves -- The Source Of Feminist Theory. Pt. 2. The Origins Of Male Dominance. Against Gender -- Male Biology As A Problem -- Men And Women: Same Species. Pt. 3. Love, Sex, And Sexuality In Radical Feminist Politics. Love: Can It Be Good? -- Sex: Will It Exist After The Revolution? -- Lesbianism As A Politics -- The Critique Of Heterosexuality -- Realignment In Feminist Sexual Politics -- Love And Freedom. Pt. 4. Goals, Strategies And Tactics: A Radical Feminist Weakness? What Is The Goal, Anyway? -- Strategies And Tactics: Taking Power? -- Separatism: When And How Long? -- Violence And Non-violence As Tactics -- What We Want, And How To Get There. Carol Anne Douglas. Includes Bibliographical References (p. 337-351) And Index.",en,,"Height: 8.25 Inches, Length: 5.75 Inches, Weight: 0.95019234922 Pounds, Width: 1 Inches",0.0,https://images.isbndb.com/covers/31/72/9780910383172.jpg,Success,75.0,13.1
0-910383-17-0,Love and Politics : Radical Feminist and Lesbian Theories,"Douglas, Carol Anne",Ism Pr,363.0,1990-07,"Feminist theory, Lesbianism, Radicalism, HQ1206 .D67 1990, 305.42/01",Paperback,"Pt. 1. What Is Radical Feminism? Defining Ourselves -- The Source Of Feminist Theory. Pt. 2. The Origins Of Male Dominance. Against Gender -- Male Biology As A Problem -- Men And Women: Same Species. Pt. 3. Love, Sex, And Sexuality In Radical Feminist Politics. Love: Can It Be Good? -- Sex: Will It Exist After The Revolution? -- Lesbianism As A Politics -- The Critique Of Heterosexuality -- Realignment In Feminist Sexual Politics -- Love And Freedom. Pt. 4. Goals, Strategies And Tactics: A Radical Feminist Weakness? What Is The Goal, Anyway? -- Strategies And Tactics: Taking Power? -- Separatism: When And How Long? -- Violence And Non-violence As Tactics -- What We Want, And How To Get There. Carol Anne Douglas. Includes Bibliographical References (p. 337-351) And Index.",en,,"Height: 8.25 Inches, Length: 5.75 Inches, Weight: 0.95019234922 Pounds, Width: 1 Inches",0.0,https://images.isbndb.com/covers/31/72/9780910383172.jpg,Success,78.0,13.1
0-929005-10-4,Menopause: A well woman book,The Montreal Health Press,SOS Free Stock,189.0,1990,,Paperback,By The Montreal Health Press. Rev. Ed. Of: A Book About Menopause. Includes Bibliographical References (p. 186-187) And Index.,en,Revised edition,"Height: 5.94487 Inches, Length: 9.01573 Inches, Weight: 0.56879263596 Pounds, Width: 0.43307 Inches",0.0,https://images.isbndb.com/covers/51/02/9780929005102.jpg,Success,70.0,13.1
8 065 02 -5 6,,,,,,,,,,,,,,Error,54.0,13.1
0-9690645-8-6,Sight Specific: Lesbians & Representation,"Brand, Dionne, Sue Golding, Jude Johnston, Et. Al",A Space,,1988,,Paperback,Dionne Brand ... [et Al.]. Includes Bibliographical References.,en,,,8.95,https://images.isbndb.com/covers/45/89/9780969064589.jpg,Success,59.0,13.1
0-231-07176-0,Hamlet's Mother and Other Women,"Heilbrun, Carolyn",Columbia University Press,266.0,1990-10-15,,Hardcover,"<p>Carolyn G. Heilbrun's groundbreaking essay ""The Character of Hamlet's Mother"" was published in 1957 at a time when few critics thought seriously about women's issues in literature. In the years since, Heilbrun has emerged as a feminist leader through her commitment to women's writing and feminist literary critique. Now in a new paperback edition with a new preface by the author, this collection explores feminism in literary studies during the last three decades. By questioning the gender arrangements of society, Heilbrun has helped to transform them. Taken together, these graceful essays demonstrate the consistency and clarity of Heilbrun's vision and her deep respect for the lives of women who write.</p>
<p> Columbia University Press</p>",en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 1.29 Pounds, Width: 0.75 Inches",95.0,https://images.isbndb.com/covers/17/65/9780231071765.jpg,Success,83.0,13.1
0-939416-44-1,Women and Honor: Some Notes on Lying,"Rich, Adrienne Cecile",Cleis Pr,,1990,,Paperback,,en,2,"Height: 8.5 Inches, Length: 5.5 Inches, Width: 0.25 Inches",0.0,https://images.isbndb.com/covers/64/48/9780939416448.jpg,Success,73.0,13.1
0-380-70779-9,Borrowed Time: An Aids Memoir,"Monette, Paul",Avon Books,342.0,1990-03-01,,Paperback,,en,1,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 0.7 Pounds, Width: 1.25 Inches",12.5,https://images.isbndb.com/covers/77/99/9780380707799.jpg,Success,67.0,13.1
0-8075-4756-5,Losing Uncle Tim,"Jordan, Marykate",Concept Books,32.0,1989,,Hardcover,,en,First Edition,"Height: 9.25 Inches, Length: 8.25 Inches, Weight: 0.7 Pounds, Width: 0.25 Inches",14.95,https://images.isbndb.com/covers/75/64/9780807547564.jpg,Success,67.0,13.1
0-8240-0693-3,Women & Violence In Literature (Garland Reference Library of the Humanities),Ackley,Taylor & Francis,,1990,Literary Collections,Hardcover,,en,1,,15.0,https://images.isbndb.com/covers/69/38/9780824006938.jpg,Success,79.0,13.1
0-88961-148-3,Bobbi Lee: Indian Rebel,"Maracle, Lee",Women's Press,242.0,1991,"Maracle, Lee, Métis--Social conditions, Indians, Treatment of, Indians, Treatment of--Canada, Métis, Métis--Biography, Métis women, Métis women--Biography, E99.M47 M376 1990, PR9199.3.M3497 Z463 1990x, 305/.897/071",Paperback,"By Lee Maracle ; Foreword By Jeanette Armstrong. Originally Published: Richmond, B.c. Lsm Information Center, 1975. With New Introd.",en,First Edition,"Height: 8.48 Inches, Length: 5.66 Inches, Weight: 0.50044933474 Pounds, Width: 0.63 Inches",24.95,https://images.isbndb.com/covers/14/81/9780889611481.jpg,Success,70.0,13.1
0-87546-158-1,Secretary and a Cook: Challenging Women's Wages in the Courts of the United States and Great Britain (Cornell International Industrial & Labour Relations Reports),"Willborn, Steven L.",ILR Press,214.0,1989,"Pay equity--Law and legislation, Pay equity--Law and legislation--United States, Pay equity--Law and legislation--Great Britain, K1770 .W55 1989, 344.73/0121 347.304121",Paperback,"<p>This book is an accessible examination and comparison of two important comparable worth cases, one in the United States and one in Great Britain. Willborn explores the struggle in two societies to reconcile a sense of justice with the preconception that certain jobs, such as cooking and typing, are ""women's work"" and the people who do them are entitled to less pay as a result.</p>",en,,"Height: 9.25 Inches, Length: 6.25 Inches, Weight: 0.7936641432 Pounds, Width: 0.75 Inches",30.7,https://images.isbndb.com/covers/15/88/9780875461588.jpg,Success,85.0,13.1
