ISBN,Title,Author,Publisher,Pages,Date Published,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,volume,issue
951066196,"Cal 98 We'Moon: Wise Womyn Ways : Gaia Rhythms : An Astrological Moon Calendar, Appointment Book and Daily Guide to Natural Rhythm for Wemoon","""Musawa""",Mother Tongue Ink,224,1997,Calendar,,en,,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 0.65 Pounds, Width: 0.75 Inches",14.85,https://images.isbndb.com/covers/61/95/9780951066195.jpg,Success,50,22,1
889740720,Two Ends Of Sleep: A Novel,"Jones, Lizard","Raincoast Books, Press Gang Publishers",176,2002,Paperback,,en,,"Height: 7.75 Inches, Length: 5.25 Inches, Weight: 0.4 Pounds, Width: 0.75 Inches",12.95,https://images.isbndb.com/covers/07/23/9780889740723.jpg,Success,50,22,1
889612234,Everywoman's Almanac,Mary Hunt,Women's Press (CA),224,1997,,,en,,,0,https://images.isbndb.com/covers/22/35/9780889612235.jpg,Success,50,22,1
2-89091142X,Mémoires lesbiennes: Le lesbianisme à Montréal entre 1950 et 1972,"Chamberland, Line",REMUE MENAGE,290,9/20/2005,Paperback,,fr,,"Height: 8.9763779436 Inches, Length: 5.9842519624 Inches, Width: 0.5905511805 Inches",0,https://images.isbndb.com/covers/14/20/9782890911420.jpg,Success,50,22,1
0-452-26308-5,Permanent Partners: Building Gay and Lesbian Relationships That Last,"Berzon, Betty",Plume,368,1/30/1990,Paperback,,en,English Language,"Height: 9.18 Inches, Length: 6.2 Inches, Weight: 0.95 Pounds, Width: 0.82 Inches",16,https://images.isbndb.com/covers/30/86/9780452263086.jpg,Success,50,22,1
889740747,Beyond the Pale by Elena Dykewomon,"Dykewomon, Elana",Press Gang Pub,216,1997,Paperback,"A Jewish Girl Orphaned During A Pogrom In Russia Emigrates To The United States Where She Becomes An Agitator For Workers' Rights. She Is Chava Meyer, A Lesbian, And Through Her Eyes Are Seen The Conditions Of Workers In This Country Early This Century. By The Author Of Riverfinger Women. By Elana Dykewomon.",en,Canadian First,"Height: 9 Inches, Length: 6 Inches, Weight: 0.3 Pounds, Width: 1.25 Inches",15.95,https://images.isbndb.com/covers/07/47/9780889740747.jpg,Success,50,22,1
0-9624751-9-X,What the Bible Really Says About Homosexuality,Daniel A. Helminiak,Alamo Square Press,125,1995,Paperback,"Top Scholars--such As Yale History Professor John Boswell And New Testament Professors L. William Countryman Of Berkeley And Robin Scroggs Of Union Theological Seminary--show That Those Who Perceive Bible Passages As Condemning Homosexuality Are Being Misled By Faulty Translation And Poor Interpretation. Daniel A. Helminiak, Ph. D., Respected Theologian And Roman Catholic Priest, Explains In A Clear Fashion The Fascinating New Insights Of These Scholars. The Bible Has Been Used To Justify Slavery, Inquisitions, Apartheid And The Subjugation Of Women. Now Read What The Bible Really Says About Homosexuality! Book Jacket.--jacket. 2. Interpreting The Bible 21 -- 3. The Sin Of Sodom 35 -- 4. The Abomination Of Leviticus: Uncleanness 43 -- 5. Purity Concerns In The Christian Testament 55 -- 6. The Unnatural In Romans: Socially Unacceptable 61 -- 7. 1 Corinthians And 1 Timothy: Abusive Male-male Sex 85 -- 8. Other Supposed References 97 -- 9. Summary And Conclusion 107 -- Biblical Citations 115. Daniel A. Helminiak ; Foreword By John S. Spong. Includes Bibliographical References (p. 111-114) And Index.",en,Third Printing,"Height: 8.75 Inches, Length: 0.5 Inches, Weight: 0.44 Pounds, Width: 5.75 Inches",0,https://images.isbndb.com/covers/51/91/9780962475191.jpg,Success,50,22,1
425159663,Apparition Alley (Kate Delafield Mysteries),"Forrest, Katherine V.",Berkley Hardcover,248,9/1/1997,Hardcover,,en,First Edition,"Height: 8.52 Inches, Length: 5.52 Inches, Weight: 0.95 Pounds, Width: 0.88 Inches",21.95,https://images.isbndb.com/covers/96/68/9780425159668.jpg,Success,50,22,1
1-878067-37-0,Lesbian Couples: Creating Healthy Relationships for the '90s,"D. Merilee Clunis, G. Dorsey Green",Seal Press,259,1993,Paperback,,en,2,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 1 Pounds, Width: 1 Inches",14.95,https://images.isbndb.com/covers/73/71/9781878067371.jpg,Success,50,22,1
1573440620,Body Alchemy: Transsexual Portraits,,Cleis Press,100,1996,Paperback,,en,1st,"Height: 10.25 Inches, Length: 8.5 Inches, Width: 0.5 Inches",27.95,https://images.isbndb.com/covers/06/22/9781573440622.jpg,Success,50,22,1
1-55583-375-6,Dream Lover,"Futcher, Jane",Alyson Books,213,1997,Paperback,"Kate Paine is a quiet lesbian artist. Ellie Webster is a married socialite used to getting her way. Twenty years ago they had a brief, passionate affair. Now in their forties, they've met again. Suddenly love flares up anew - and neither Kate's nor Ellie's lives will ever be the same.",en,1,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.6172943336 Pounds, Width: 0.75 Inches",1.99,https://images.isbndb.com/covers/37/56/9781555833756.jpg,Success,50,22,1
60928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,"Wells, Rebecca",Perennial,368,5/7/1997,Paperback,,en,,"Height: 8.11 Inches, Length: 5.11 Inches, Weight: 0.6172943336 Pounds, Width: 1.11 Inches",14,https://images.isbndb.com/covers/83/39/9780060928339.jpg,Success,50,22,1
0-9646648-3-6,Nina In The Wilderness,Sarah Aldridge,A & M Books,288,1/1/1997,Paperback,,en,,,11.95,https://images.isbndb.com/covers/48/38/9780964664838.jpg,Success,50,22,1
1-56280-156-2,"Baby, It's Cold","Maiman, Jaye",Naiad Pr,247,1996,Paperback,"As A Bitter Winter Grips New York City, Private Investigator Robin Miller Is Catapulted On A Bone-chilling Quest To Save A Friend's Child From A Horrifying Death. With A Vicious Kidnapper On The Loose And One Child Already Presumed Dead, Robin Has No Time To Waste. The Investigation Rushes Ahead At Breakneck Speed, Propelling Her On A Collision Course With A Cold-hearted Killer--and A Former Lover.--back Cover. Jaye Maiman.",en,Soft Cover,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 0.6 Pounds, Width: 0.5 Inches",10.95,https://images.isbndb.com/covers/15/64/9781562801564.jpg,Success,51,22,1
1562801783,Class Reunion,"Hill, Linda",Naiad Pr,176,1997,Paperback,,en,First Edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.4 Pounds, Width: 0.5 Inches",11.95,https://images.isbndb.com/covers/17/86/9781562801786.jpg,Success,51,22,1
1562801694,The Loving Lesbian,"McNab, Claire, Gedan, Sharon",Naiad Pr,240,1997,Paperback,Claire Mcnab And Sharon Gedan. Includes Bibliographical References (p. 213-214).,en,First Edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.50044933474 Pounds, Width: 0.75 Inches",14.95,https://images.isbndb.com/covers/16/94/9781562801694.jpg,Success,51,22,1
